date,ncumul_conf
25/06/2021,2806.0
26/06/2021,2737.0
26/06/2021,42807.0
27/06/2021,12963.0
27/06/2021,112615.0
29/06/2021,13620.0
29/06/2021,7119.0
30/06/2021,33246.0
30/06/2021,38114.0
01/07/2021,47869.0
01/07/2021,8474.0
03/07/2021,65730.0
03/07/2021,18243.0
04/07/2021,85419.0
04/07/2021,38144.0
05/07/2021,12987.0
05/07/2021,1238.0
07/07/2021,13677.0
07/07/2021,7132.0
08/07/2021,17999.0
08/07/2021,33328.0
09/07/2021,47995.0
09/07/2021,8547.0
11/07/2021,13705.0
11/07/2021,7142.0
12/07/2021,2609.0
12/07/2021,3266.0
13/07/2021,13035.0
13/07/2021,1238.0
15/07/2021,2840.0
15/07/2021,13743.0
16/07/2021,33492.0
16/07/2021,38356.0
17/07/2021,13116.0
17/07/2021,113985.0
19/07/2021,43258.0
19/07/2021,18083.0
20/07/2021,3271.0
20/07/2021,48276.0
21/07/2021,1238.0
21/07/2021,114561.0
23/07/2021,13846.0
23/07/2021,7165.0
24/07/2021,38536.0
24/07/2021,3075.0
26/07/2021,32822.0
26/07/2021,2900.0
27/07/2021,4886.0
27/07/2021,18206.0
28/07/2021,3279.0
28/07/2021,48579.0
29/07/2021,1245.0
29/07/2021,115782.0
31/07/2021,7210.0
31/07/2021,29730.0
01/08/2021,12690.0
01/08/2021,19277.0
03/08/2021,14029.0
03/08/2021,7246.0
04/08/2021,18378.0
04/08/2021,33980.0
05/08/2021,49115.0
05/08/2021,8846.0
07/08/2021,19044.0
07/08/2021,33142.0
08/08/2021,3102.0
08/08/2021,61463.0
09/08/2021,117423.0
10/08/2021,68298.0
11/08/2021,30315.0
11/08/2021,17941.0
12/08/2021,34307.0
12/08/2021,39140.0
13/08/2021,8981.0
13/08/2021,12969.0
15/08/2021,30673.0
15/08/2021,18081.0
16/08/2021,3344.0
16/08/2021,50904.0
17/08/2021,120469.0
18/08/2021,70341.0
19/08/2021,7512.0
19/08/2021,31183.0
20/08/2021,34757.0
20/08/2021,39750.0
21/08/2021,122449.0
22/08/2021,71173.0
23/08/2021,5354.0
23/08/2021,19761.0
24/08/2021,3392.0
24/08/2021,53024.0
25/08/2021,124381.0
26/08/2021,nan
27/08/2021,7679.0
27/08/2021,32234.0
28/08/2021,3263.0
28/08/2021,64457.0
30/08/2021,3355.0
30/08/2021,15227.0
31/08/2021,5601.0
31/08/2021,20736.0
01/09/2021,3451.0
01/09/2021,55093.0
02/09/2021,1442.0
02/09/2021,128249.0
04/09/2021,33314.0
04/09/2021,18953.0
05/09/2021,22525.0
05/09/2021,15452.0
07/09/2021,15779.0
07/09/2021,7953.0
08/09/2021,21717.0
08/09/2021,35568.0
09/09/2021,3566.0
09/09/2021,56934.0
10/09/2021,132783.0
11/09/2021,76877.0
12/09/2021,94016.0
12/09/2021,41674.0
13/09/2021,15796.0
13/09/2021,1599.0
15/09/2021,16122.0
15/09/2021,8071.0
16/09/2021,6020.0
16/09/2021,22382.0
17/09/2021,3701.0
17/09/2021,58091.0
19/09/2021,16226.0
19/09/2021,8115.0
20/09/2021,66586.0
20/09/2021,3314.0
21/09/2021,1676.0
21/09/2021,136787.0
23/09/2021,8140.0
23/09/2021,35882.0
24/09/2021,35952.0
24/09/2021,42420.0
25/09/2021,137943.0
26/09/2021,79409.0
