SN,Average
42495.0,37.5
42496.0,27.5
42559.0,20.0
42560.0,27.5
42623.0,16.5
42624.0,11.0
42687.0,135.0
42688.0,75.0
42751.0,62.5
42752.0,75.0
42815.0,115.0
42816.0,16.5
42879.0,62.5
42880.0,185.0
42943.0,75.0
42944.0,42.5
43007.0,42.5
43008.0,52.5
43071.0,32.5
43072.0,42.5
43135.0,27.5
43136.0,37.5
43199.0,13.5
43200.0,37.5
43263.0,27.5
43264.0,31.5
43327.0,11.0
43328.0,36.5
43391.0,47.5
43392.0,52.5
43455.0,75.0
43456.0,32.5
43519.0,32.5
43520.0,42.5
43583.0,62.5
43584.0,75.0
43647.0,21.0
43648.0,105.0
43711.0,175.0
43712.0,77.5
43775.0,42.5
43776.0,95.0
43839.0,42.5
43840.0,75.0
43903.0,165.0
43904.0,205.0
43967.0,42.5
43968.0,42.5
44031.0,23.5
44032.0,29.0
44095.0,29.0
44096.0,36.0
44159.0,27.5
44160.0,36.5
44223.0,36.5
44224.0,15.0
44287.0,215.0
44288.0,41.0
44351.0,72.5
44352.0,72.5
44415.0,75.0
44416.0,95.0
44479.0,22.5
44480.0,105.0
44543.0,75.0
44544.0,575.0
44607.0,42.5
44608.0,95.0
44671.0,42.5
44672.0,42.5
44735.0,75.0
44736.0,160.0
44799.0,21.0
44800.0,29.0
44863.0,29.0
44864.0,27.5
44927.0,32.5
44928.0,42.5
44991.0,16.5
44992.0,47.5
45055.0,21.0
45056.0,15.0
45119.0,42.5
45120.0,215.0
45183.0,195.0
45184.0,135.0
45247.0,100.0
45248.0,210.0
45311.0,52.5
45312.0,22.5
45375.0,165.0
45376.0,23.5
45439.0,75.0
45440.0,575.0
45503.0,95.0
45504.0,62.5
45567.0,75.0
45568.0,75.0
45631.0,52.5
45632.0,52.5
45695.0,55.0
45696.0,85.0
45759.0,45.0
45760.0,55.0
45823.0,35.0
45824.0,35.0
45887.0,32.5
45888.0,32.5
45951.0,35.0
45952.0,55.0
46015.0,45.0
46016.0,32.5
46079.0,55.0
46080.0,55.0
46143.0,95.0
46144.0,52.5
46207.0,75.0
46208.0,85.0
46271.0,95.0
46272.0,95.0
46335.0,95.0
46336.0,65.0
46399.0,72.5
46400.0,95.0
46463.0,575.0
46464.0,205.0
46527.0,65.0
46528.0,205.0
46591.0,75.0
46592.0,55.0
46655.0,55.0
46656.0,75.0
46719.0,55.0
46720.0,55.0
46783.0,35.0
46784.0,27.5
46847.0,45.0
46848.0,45.0
46911.0,55.0
46912.0,55.0
46975.0,65.0
46976.0,32.5
47039.0,215.0
47040.0,55.0
47103.0,95.0
47104.0,55.0
47167.0,62.5
47168.0,22.5
47231.0,75.0
47232.0,52.5
47295.0,65.0
47296.0,65.0
47359.0,75.0
47360.0,75.0
47423.0,235.0
47424.0,55.0
47487.0,55.0
47488.0,45.0
47551.0,35.0
47552.0,45.0
47615.0,36.0
47616.0,37.5
47679.0,35.0
47680.0,27.5
47743.0,55.0
47744.0,25.0
47807.0,95.0
47808.0,165.0
47871.0,62.5
47872.0,27.5
47935.0,75.0
47936.0,75.0
47999.0,65.0
48000.0,205.0
48063.0,185.0
48064.0,55.0
48127.0,55.0
48128.0,82.5
48191.0,55.0
48192.0,45.0
48255.0,35.0
48256.0,45.0
48319.0,35.0
48320.0,35.0
48383.0,17.5
48384.0,25.0
48447.0,55.0
48448.0,29.0
48511.0,55.0
48512.0,165.0
48575.0,22.5
48576.0,85.0
48639.0,95.0
48640.0,95.0
48703.0,205.0
48704.0,95.0
48767.0,185.0
48768.0,55.0
48831.0,235.0
48832.0,55.0
48895.0,55.0
48896.0,55.0
48959.0,35.0
48960.0,29.0
49023.0,35.0
49024.0,65.0
49087.0,65.0
49088.0,37.5
49151.0,45.0
49152.0,37.5
49215.0,75.0
49216.0,55.0
49279.0,27.5
49280.0,62.5
49343.0,205.0
49344.0,55.0
49407.0,65.0
49408.0,65.0
49471.0,105.0
49472.0,105.0
49535.0,55.0
49536.0,55.0
49599.0,55.0
49600.0,75.0
49663.0,37.5
49664.0,21.0
49727.0,34.0
49728.0,42.5
49791.0,35.0
