date,value
01/09/2022,319139.0
01/09/2022,80227.0
01/09/2022,189010.0
01/09/2022,132702.0
01/09/2022,48278.0
01/10/2019,710207.0
01/10/2019,184123.0
01/10/2019,105107.0
01/10/2019,86583.0
01/10/2020,28431.0
01/10/2020,33934.0
01/10/2020,140210.0
01/10/2020,76676.0
01/10/2020,42775.0
01/10/2020,295516.0
01/10/2021,10519.0
01/10/2021,64142.0
01/10/2021,31863.0
01/10/2021,78172.0
01/10/2022,393702.0
01/10/2022,129841.0
01/10/2022,156894.0
01/10/2022,154135.0
01/10/2022,26456.0
01/11/2019,4087756.0
01/11/2019,23318.0
01/11/2019,12062.0
01/11/2019,67008.0
01/11/2019,145406.0
01/11/2020,546754.0
01/11/2020,947283.0
01/11/2020,135280.0
01/11/2020,106248.0
01/11/2021,116387.0
01/11/2021,22402.0
01/11/2021,43267.0
01/11/2021,27595.0
01/11/2021,88064.0
01/11/2021,13531.0
01/11/2022,288507.0
01/11/2022,102026.0
01/11/2022,127803.0
01/11/2022,54415.0
01/12/2019,191708.0
01/12/2019,289895.0
01/12/2019,90439.0
01/12/2019,171236.0
01/12/2019,40949.0
01/12/2019,45772.0
01/12/2020,50449.0
01/12/2020,10795.0
01/12/2020,139976.0
01/12/2020,65449.0
01/12/2021,595951.0
01/12/2021,593435.0
01/12/2021,90937.0
01/12/2021,146727.0
01/12/2022,79056.0
01/12/2022,287317.0
01/12/2022,166390.0
01/12/2022,80374.0
01/12/2022,104148.0
01/12/2022,175542.0
01/01/2019,13125.0
01/01/2019,69188.0
01/01/2019,43029.0
01/01/2019,2204.0
01/01/2020,196786.0
01/01/2020,421.0
01/01/2020,309958.0
01/01/2020,570.0
01/01/2020,1506.0
01/01/2020,789.0
01/01/2021,47.0
01/01/2021,13.0
01/01/2021,554.0
01/01/2021,30.0
01/01/2022,380.0
01/01/2022,299.0
01/01/2022,925.0
01/01/2022,485.0
01/01/2023,39040.0
01/01/2023,11567.0
01/01/2023,2485.0
01/01/2023,903.0
01/01/2023,442.0
01/01/2023,10717.0
01/02/2019,2698.0
01/02/2019,11198.0
01/02/2019,257.0
01/02/2019,42080.0
01/02/2020,8892.0
01/02/2020,99963.0
01/02/2020,34484.0
01/02/2020,165688.0
01/02/2020,267.0
01/02/2020,1416.0
01/02/2021,38.0
01/02/2021,32.0
01/02/2021,49.0
01/02/2021,925.0
01/02/2022,263.0
01/02/2022,383.0
01/02/2022,1424.0
01/02/2022,1292.0
01/02/2023,3854.0
01/02/2023,46444.0
01/02/2023,27580.0
01/02/2023,2609.0
01/02/2023,41885.0
01/02/2023,414.0
01/03/2019,77346.0
01/03/2019,1787.0
01/03/2019,760.0
01/03/2019,296.0
01/03/2020,2704.0
01/03/2020,1954.0
01/03/2020,183.0
01/03/2020,8385.0
01/03/2020,2984.0
01/03/2020,26.0
01/03/2021,0.0
01/03/2021,31.0
01/03/2021,66.0
01/03/2021,68.0
01/03/2022,2915.0
01/03/2022,259.0
01/03/2022,1406.0
01/03/2022,1829.0
01/04/2019,1371.0
01/04/2019,187925.0
01/04/2019,3809.0
01/04/2019,43305.0
01/04/2019,761.0
01/04/2019,3193.0
01/04/2020,0.0
01/04/2020,592.0
01/04/2020,188.0
01/04/2020,17.0
01/04/2021,0.0
01/04/2021,125.0
01/04/2021,589.0
01/04/2021,81.0
01/04/2021,20.0
01/04/2021,14.0
01/04/2022,120317.0
01/04/2022,0.0
01/04/2022,1246.0
01/04/2022,212.0
01/05/2019,4678.0
