SNo,Confirmed
24576.0,96.0
24577.0,42.0
24640.0,20386.0
24641.0,719.0
24704.0,332.0
24705.0,653.0
24768.0,8030.0
24769.0,3732.0
24832.0,1830.0
24833.0,907.0
24896.0,779.0
24897.0,522.0
24960.0,1032.0
24961.0,144749.0
25024.0,164.0
25025.0,60.0
25088.0,6504.0
25089.0,120.0
25152.0,9859.0
25153.0,12.0
25216.0,10791.0
25217.0,712.0
25280.0,332.0
25281.0,45032.0
25344.0,203.0
25345.0,17330.0
25408.0,356.0
25409.0,9323.0
25472.0,3453.0
25473.0,144124.0
25536.0,1450.0
25537.0,0.0
25600.0,16.0
25601.0,12110.0
25664.0,96.0
25665.0,135.0
25728.0,733.0
25729.0,2738.0
25792.0,37212.0
25793.0,147.0
25856.0,3075.0
25857.0,348232.0
25920.0,1173.0
25921.0,18928.0
25984.0,12229.0
25985.0,1338.0
26048.0,6870.0
26049.0,137.0
26112.0,320.0
26113.0,381.0
26176.0,103.0
26177.0,11.0
26240.0,11159.0
26241.0,75.0
26304.0,1564.0
26305.0,69.0
26368.0,39.0
26369.0,1784.0
26432.0,375.0
26433.0,44141.0
26496.0,761.0
26497.0,46.0
26560.0,154.0
26561.0,1590.0
26624.0,19207.0
26625.0,1931.0
26688.0,18611.0
26689.0,1502.0
26752.0,365.0
26753.0,18.0
26816.0,254.0
26817.0,914.0
26880.0,12825.0
26881.0,401.0
26944.0,147.0
26945.0,169.0
27008.0,29.0
27009.0,5.0
27072.0,557.0
27073.0,12885.0
27136.0,1567.0
27137.0,24.0
27200.0,6043.0
27201.0,45898.0
27264.0,6735.0
27265.0,4549.0
27328.0,8092.0
27329.0,3040.0
27392.0,88970.0
27393.0,1054.0
27456.0,18.0
27457.0,44784.0
27520.0,944.0
27521.0,1581.0
27584.0,903.0
27585.0,39.0
27648.0,457.0
27649.0,44700.0
27712.0,866.0
27713.0,51.0
27776.0,16.0
27777.0,8386.0
27840.0,67049.0
27841.0,987.0
27904.0,69252.0
27905.0,23911.0
27968.0,1779.0
27969.0,0.0
28032.0,11230.0
28033.0,712.0
28096.0,332.0
28097.0,6847.0
28160.0,20148.0
28161.0,27892.0
28224.0,1121.0
28225.0,579.0
28288.0,7589.0
28289.0,149.0
28352.0,26085.0
28353.0,3864.0
28416.0,1.0
28417.0,691.0
28480.0,78.0
28481.0,487.0
28544.0,9.0
28545.0,488.0
28608.0,3040.0
28609.0,24.0
28672.0,16855.0
28673.0,18737.0
28736.0,336.0
28737.0,1132.0
28800.0,1049.0
28801.0,1077.0
28864.0,3044.0
28865.0,1183.0
28928.0,201.0
28929.0,42.0
28992.0,1047.0
28993.0,1114.0
29056.0,3634.0
29057.0,11.0
29120.0,8.0
29121.0,11073.0
29184.0,1065.0
29185.0,68135.0
29248.0,11578.0
29249.0,75.0
29312.0,3423.0
29313.0,2587.0
29376.0,191.0
29377.0,27.0
29440.0,711.0
29441.0,8969.0
29504.0,31960.0
29505.0,1511.0
29568.0,593.0
29569.0,6651.0
29632.0,169.0
29633.0,5069.0
29696.0,121.0
29697.0,18.0
29760.0,634.0
29761.0,3062.0
29824.0,4403.0
29825.0,100.0
29888.0,23165.0
29889.0,139511.0
29952.0,0.0
29953.0,666.0
30016.0,12.0
30017.0,34495.0
30080.0,12.0
30081.0,161.0
30144.0,479.0
30145.0,11.0
30208.0,1699.0
30209.0,6.0
30272.0,1050.0
30273.0,8857.0
30336.0,1195.0
30337.0,139.0
30400.0,31292.0
30401.0,48947.0
30464.0,1916.0
30465.0,541.0
30528.0,358.0
30529.0,9108.0
30592.0,13140.0
30593.0,55608.0
30656.0,14353.0
30657.0,5630.0
30720.0,860.0
30721.0,76.0
30784.0,25.0
30785.0,738.0
30848.0,12131.0
30849.0,8.0
30912.0,8152.0
30913.0,36146.0
30976.0,129.0
30977.0,560.0
31040.0,1066.0
31041.0,383.0
31104.0,1710.0
31105.0,45.0
31168.0,30445.0
31169.0,6942.0
31232.0,228.0
31233.0,21679.0
31296.0,42844.0
31297.0,92.0
31360.0,16963.0
31361.0,2750.0
31424.0,11.0
31425.0,829.0
31488.0,101.0
31489.0,2401.0
31552.0,49.0
31553.0,8538.0
31616.0,937.0
31617.0,155.0
31680.0,5238.0
31681.0,524.0
31744.0,14635.0
31745.0,6463.0
31808.0,1431.0
31809.0,0.0
31872.0,962.0
31873.0,759.0
31936.0,4016.0
31937.0,9.0
32000.0,3077.0
32001.0,24.0
32064.0,2845.0
32065.0,6.0
32128.0,9120.0
32129.0,139.0
32192.0,96583.0
32193.0,88758.0
32256.0,2554.0
32257.0,22.0
32320.0,8778.0
32321.0,59.0
32384.0,69.0
32385.0,43611.0
32448.0,2517.0
32449.0,1306.0
32512.0,1572.0
32513.0,46442.0
32576.0,178.0
32577.0,3222.0
32640.0,9637.0
32641.0,24.0
32704.0,149.0
32705.0,169.0
32768.0,96965.0
32769.0,2429.0
32832.0,1783.0
32833.0,2597.0
32896.0,77.0
32897.0,2091.0
32960.0,15753.0
32961.0,1143.0
33024.0,1339.0
33025.0,153.0
